10_1;aver
10_2;aver
11_1;good-lower
11_2;good-lower
12_1;good
12_2;good-lower
13_1;good
13_2;good
14_1;aver-lower
14_2;aver-lower
15_1;aver
15_2;aver
16_1;aver
16_2;aver
17_1;unsatisf
17_2;aver
18_1;good-lower
18_2;good-lower
19_1;aver-lower
19_2;aver-lower
1_1;aver
1_2;good-lower
20_1;aver
20_2;aver-lower
21_1;aver-lower
21_2;aver-lower
22_1;aver-lower
22_2;aver
23_1;aver
23_2;aver-lower
24_1;aver-lower
24_2;aver
25_1;aver
25_2;aver
26_1;aver
26_2;aver-lower
27_1;aver-lower
27_2;aver-lower
28_1;good-lower
28_2;good
29_1;aver
29_2;aver-lower
2_1;aver
2_2;good
30_1;good-lower
30_2;aver
