14_1	aver	199	2	1	0	14	16	16	1	19	39	5	0	0	13	3.79	2	6	0	15.45	13.14	12.4375	12.14	4.93	
15_1	aver	166	0	1	2	7	11	11	2	22	38	6	3	0	8	4.29	2	7	0	25.9	22.57	15.0909	19.29	7.86	
16_1	aver	181	3	2	2	7	12	11	1	20	36	5	2	0	10	6.0	3	13	1	27.67	24.71	15.0833	21.71	5	
18_1	aver	193	1	0	3	10	12	10	5	24	34	8	1	0	14	4.2	2	7	2	20.58	18.2	16.0833	15.36	3.6	
19_1	aver	173	2	1	1	5	10	10	2	23	39	2	0	0	8	7.0	4	10	0	37.1	33.4	17.3	27.1	9.6	
1_1	aver	186	3	2	4	8	14	14	1	17	32	4	8	2	14	5.12	3	7	0	25.07	22.12	13.2857	17.89	6.25	
20_1	aver	256	4	1	5	12	21	20	1	25	39	9	5	1	21	4.33	2	6	1	24.59	20.25	12.1905	19.24	6.5	
21_1	aver	226	1	2	4	10	17	17	3	20	42	5	6	0	21	4.7	3	8	0	24.49	21.5	13.2941	19.02	5	
22_1	aver	241	4	2	8	7	18	18	6	22	37	5	11	0	24	5.0	4	7	0	40.24	33.29	13.3889	31.67	11.71	
23_1	aver	183	0	1	0	8	13	13	3	26	34	4	0	0	10	4.5	3	6	0	25.89	21.75	14.0769	20.39	4.25	
24_1	aver	241	0	1	4	12	22	22	2	27	44	4	4	0	17	4.5	3	8	0	22.5	19	10.9545	17.89	10.08	
25_1	aver	176	7	1	3	5	11	11	1	20	34	1	3	2	12	7.2	5	10	0	36.1	34	16.0	28.5	4.6	
26_1	aver	160	1	3	0	9	16	16	2	11	26	7	2	0	8	4.33	1	7	0	21.03	16.67	10.0	17.58	4.11	
27_1	aver	222	1	2	4	10	16	16	2	31	45	1	4	0	12	5.6	3	14	0	26.09	21.1	13.875	21.71	8.7	
28_1	aver	236	7	2	2	9	12	11	4	28	46	7	6	1	15	5.44	3	8	1	29.25	25.11	19.6667	21.69	4.22	
29_1	aver	204	7	2	0	7	11	10	2	30	34	3	3	1	12	6.86	4	10	1	30.24	28	18.5455	22.33	12.71	
2_1	aver	168	8	2	4	6	10	10	2	16	27	4	4	2	17	6.17	3	9	0	32.33	26.83	16.8	24.87	5	
30_1	aver	273	5	2	5	10	19	19	3	34	47	4	6	0	25	5.6	3	10	0	31.64	26.2	14.3684	24.64	10.4	
10_2	aver	275	4	1	8	14	25	25	3	20	32	5	15	0	34	4.5	2	7	0	21.43	18.57	11.0	16.21	5.5	
11_2	aver	316	7	0	8	18	27	27	11	34	34	2	18	0	38	4.67	2	9	0	20.27	16.5	11.7037	15.44	3.89	
12_2	aver	346	6	0	12	17	26	26	8	30	42	8	26	0	49	5.24	3	9	0	23.41	19.29	13.3077	17.68	4.82	
14_2	aver	232	2	1	4	18	29	29	6	24	23	5	11	0	21	3.72	1	6	0	13.78	11.83	8.0	10.46	4.5	
15_2	aver	273	3	3	6	10	23	23	7	29	40	3	22	0	28	5.2	3	10	0	33.93	26.2	11.8696	26.29	7.2	
16_2	aver	304	8	2	7	14	27	27	9	30	40	3	21	2	34	5.07	3	8	0	24.16	20.64	11.2593	18.36	9.29	
17_2	aver	277	4	0	7	16	31	30	3	20	31	3	14	0	24	3.81	2	6	1	19.35	16.25	8.9355	14.51	5.94	
18_2	aver	329	6	2	8	16	27	25	4	28	45	3	18	0	35	4.31	2	7	2	22.58	19.5	12.1852	16.62	7.88	
19_2	aver	326	5	2	10	9	19	19	13	36	46	4	20	0	40	7.33	5	9	0	39.94	35.11	17.1579	29.22	4.33	
1_2	aver	338	4	5	7	14	36	36	6	39	44	17	18	1	34	5.43	2	10	0	29.23	23.07	9.3889	22.32	8	
20_2	aver	338	3	2	8	14	33	33	5	30	40	2	19	0	37	5.36	2	9	0	27.93	23.07	10.2424	20.93	5.07	
21_2	aver	245	3	1	7	12	20	20	6	28	32	3	16	0	31	5.58	4	11	0	22.3	19.33	12.25	16.48	5.33	
22_2	aver	253	8	7	6	10	23	23	6	28	31	5	15	0	33	7.1	3	10	0	29.93	24.2	11.0	23.02	6.8	
23_2	aver	273	3	3	4	17	31	31	3	28	32	6	11	0	25	4.12	3	8	0	17.72	15	8.8065	13.15	4.82	
