AAl_13_1	best	283	4.27	2	8	0	32.36	26.07	7.82	24.64	12.304347826086957	2.090909090909091	1.0	0.21739130434782608	0.043478260869565216	0.13043478260869565	0.21739130434782608	0.043478260869565216	0.13043478260869565	0.34782608695652173	2.090909090909091	1.9090909090909092	3.0	0.2727272727272727	0.5454545454545454	0.2727272727272727	1.7272727272727273	
AAl_27_1	best	211	5.0	3	10	0	23.96	19.56	5.6	20	15.071428571428571	1.4	1.0	0.0	0.0	0.07142857142857142	0.0	0.0	0.07142857142857142	0.35714285714285715	1.4	2.5	4.4	0.2	0.6	0.0	1.2	
AAl_30_1	best	231	3.85	2	5	0	20.36	16.58	6.46	16.69	12.157894736842104	1.4615384615384615	1.0	0.10526315789473684	0.05263157894736842	0.05263157894736842	0.10526315789473684	0.05263157894736842	0.05263157894736842	0.21052631578947367	1.4615384615384615	1.0	2.8461538461538463	0.23076923076923078	0.8461538461538461	0.07692307692307693	1.7692307692307692	
ZEv_3_1	best	201	4.75	3	7	0	26.89	21.68	4.75	24	14.357142857142858	1.75	1.0	0.2857142857142857	0.21428571428571427	0.14285714285714285	0.2857142857142857	0.21428571428571427	0.14285714285714285	0.5	1.75	2.25	4.0	0.5	0.25	0.125	1.75	
EEm_14_1	best	219	5.44	4	7	0	24.75	20.03	5.78	23.22	12.166666666666666	2.0	1.0	0.2222222222222222	0.0	0.3333333333333333	0.2222222222222222	0.0	0.3333333333333333	0.16666666666666666	2.0	2.111111111111111	4.111111111111111	0.3333333333333333	1.1111111111111112	0.1111111111111111	2.4444444444444446	
EEm_16_1	best	197	4.3	3	6	0	19.53	14.44	3.9	18.6	19.7	1.0	1.0	0.2	0.0	0.2	0.2	0.0	0.2	0.6	1.0	3.0	3.5	0.4	0.3	0.1	1.1	
KKo_9_1	best	221	4.4	2	6	0	25.02	19.51	6.8	21	11.05	2.0	1.0	0.15	0.05	0.3	0.15	0.05	0.3	0.05	2.0	2.4	3.5	0.4	1.0	0.0	2.3	
KKo_24_1	best	212	5.67	3	8	1	44.8	35.4	3.33	34.17	19.272727272727273	1.8333333333333333	1.1	0.6	0.0	0.4	0.5454545454545454	0.0	0.36363636363636365	0.5454545454545454	1.6666666666666667	4.5	6.166666666666667	0.5	0.8333333333333334	0.0	2.1666666666666665	
ASt_21_1	best	203	4.88	4	8	0	29.54	23.32	6.5	24.25	11.941176470588236	2.125	1.0	0.0	0.11764705882352941	0.11764705882352941	0.0	0.11764705882352941	0.11764705882352941	0.35294117647058826	2.125	3.25	4.25	0.125	0.5	0.0	1.875	
ASt_34_1	best	174	4.38	4	7	0	24.79	20.18	7.5	20.62	14.5	1.5	1.0	0.16666666666666666	0.0	0.3333333333333333	0.16666666666666666	0.0	0.3333333333333333	0.3333333333333333	1.5	2.5	2.5	0.0	0.375	0.0	1.0	
12_1	best	194	4.5	3	6	0	28.93	22.68	8	23.12	19.4	1.25	1.0	0.3	0.1	0.2	0.3	0.1	0.2	0.5	1.25	3.125	4.25	0.625	0.375	0.125	1.75	
13_1	best	203	5.75	4	8	0	28.54	22.11	3.88	24.25	11.941176470588236	2.125	1.0	0.23529411764705882	0.058823529411764705	0.17647058823529413	0.23529411764705882	0.058823529411764705	0.17647058823529413	0.058823529411764705	2.125	2.625	4.125	0.5	0.375	0.125	1.5	
AAl_2_2	best	336	5.5	1	12	2	24.35	18.44	5	19.94	9.08108108108108	2.3125	1.0571428571428572	0.14285714285714285	0.22857142857142856	0.2857142857142857	0.13513513513513514	0.21621621621621623	0.2702702702702703	0.2972972972972973	2.1875	1.1875	2.25	0.125	1.375	0.0625	2.0	
AAl_13_2	best	316	4.93	2	7	1	26.82	19.99	9.43	21.5	12.153846153846153	1.8571428571428572	1.04	0.16	0.08	0.12	0.15384615384615385	0.07692307692307693	0.11538461538461539	0.3076923076923077	1.7857142857142858	2.142857142857143	3.142857142857143	0.42857142857142855	0.9285714285714286	0.0	1.7857142857142858	
AAl_26_2	best	384	5.35	2	8	1	25.49	19.2	6.82	21.53	9.6	2.3529411764705883	1.0256410256410255	0.15384615384615385	0.05128205128205128	0.28205128205128205	0.15	0.05	0.275	0.15	2.2941176470588234	2.6470588235294117	3.2941176470588234	0.7058823529411765	0.8823529411764706	0.058823529411764705	2.2941176470588234	
AAl_27_2	best	315	4.12	2	7	0	22.65	16.88	6.12	17.47	9.0	2.0588235294117645	1.0	0.08571428571428572	0.11428571428571428	0.2	0.08571428571428572	0.11428571428571428	0.2	0.3142857142857143	2.0588235294117645	1.2352941176470589	2.0	0.11764705882352941	1.2352941176470589	0.0	1.8235294117647058	
VKo_2_2	best	307	6.2	3	12	0	36.91	29.36	10.9	29.6	10.586206896551724	2.9	1.0	0.27586206896551724	0.1724137931034483	0.3103448275862069	0.27586206896551724	0.1724137931034483	0.3103448275862069	0.06896551724137931	2.9	2.0	2.9	0.4	2.8	0.2	4.1	
VKo_3_2	best	288	5.55	3	9	3	32.07	24.47	7.73	25.09	7.783783783783784	3.3636363636363638	1.088235294117647	0.11764705882352941	0.17647058823529413	0.2647058823529412	0.10810810810810811	0.16216216216216217	0.24324324324324326	0.05405405405405406	3.090909090909091	2.1818181818181817	2.909090909090909	0.09090909090909091	1.6363636363636365	0.09090909090909091	3.0	
VKo_5_2	best	325	4.72	2	8	0	19.88	15.58	4.06	17	8.125	2.2222222222222223	1.0	0.075	0.05	0.275	0.075	0.05	0.275	0.125	2.2222222222222223	1.0	1.4444444444444444	0.2222222222222222	1.0555555555555556	0.0	2.4444444444444446	
