10_2	aver	260	4	1	8	14	25	25	0	3	20	32	5	15	0	3	34	2	7	72	
11_2	aver	297	7	0	8	18	27	27	0	11	34	34	2	18	0	6	38	2	9	88	
12_2	aver	328	6	0	12	17	26	26	0	8	30	42	8	26	0	5	49	3	9	106	
14_2	aver	213	2	1	4	18	29	29	0	6	24	23	5	11	0	2	21	1	6	63	
15_2	aver	262	3	3	6	10	23	23	0	7	29	40	3	22	0	0	28	3	10	94	
16_2	aver	289	8	2	7	14	27	27	0	9	30	40	3	21	2	4	34	3	8	96	
17_2	aver	260	4	0	7	16	31	30	1	3	20	31	3	14	0	5	24	2	6	68	
18_2	aver	312	6	2	8	16	27	25	2	4	28	45	3	18	0	5	35	2	7	94	
19_2	aver	316	5	2	10	9	19	19	0	13	36	46	4	20	0	6	40	5	9	106	
1_2	aver	323	4	5	7	14	36	36	0	6	39	44	17	18	1	3	34	2	10	119	
20_2	aver	323	3	2	8	14	33	33	0	5	30	40	2	19	0	2	37	2	9	91	
21_2	aver	232	3	1	7	12	20	20	0	6	28	32	3	16	0	7	31	4	11	79	
22_2	aver	242	8	7	6	10	23	23	0	6	28	31	5	15	0	4	33	3	10	79	
23_2	aver	255	3	3	4	17	31	31	0	3	28	32	6	11	0	5	25	3	8	77	
24_2	aver	363	8	2	5	19	40	40	0	9	42	43	6	27	2	3	46	2	9	120	
25_2	aver	262	5	5	4	10	24	22	2	2	28	34	9	15	0	6	24	3	9	86	
26_2	aver	224	4	5	3	13	27	27	0	6	25	22	4	17	0	2	24	1	8	68	
27_2	aver	310	1	2	7	20	39	38	1	5	32	34	8	16	1	2	25	3	6	91	
29_2	aver	274	5	2	7	14	18	18	0	8	37	37	1	19	1	5	31	3	7	95	
30_2	aver	301	9	5	5	11	24	24	0	11	34	40	3	19	3	2	35	3	11	99	
VKo_8_1	worst	137	0	1	1	7	11	11	0	4	23	22	0	7	0	0	10	4	6	52	
VKo_19_1	worst	119	1	1	3	5	10	10	0	2	18	19	4	4	0	0	5	3	6	45	
VKo_22_1	worst	135	0	4	1	8	14	14	0	2	21	22	4	2	0	0	8	2	7	49	
ZEv_28_1	worst	204	5	0	2	11	13	13	0	6	23	43	8	6	1	2	15	2	8	81	
EEm_18_1	worst	169	4	2	3	13	18	18	0	1	22	28	1	6	2	1	18	3	8	59	
EEm_28_1	worst	195	4	0	0	8	15	15	0	3	20	32	3	4	0	0	13	4	8	59	
DZu_40_1	worst	148	1	0	1	15	17	16	1	0	17	21	9	0	0	0	10	1	4	47	
