/Users/irene/Downloads/exam/exam2014/AAl_9_1.txt	55	aver	4.56	25.97	20.03	27.5	21.75	20.22	15.167	1.333	1.0	0.333	0.0	0.417	0.333	0.0	0.417	0.167	1.333	1.222	4.333	0.222	0.333	0.0	0.222	1.667	5.89	
/Users/irene/Downloads/exam/exam2014/ADe_11_1.txt	65	aver	5.57	28.33	22.43	27.0	21.5	28.86	16.833	1.714	1.091	0.182	0.273	0.273	0.167	0.25	0.25	0.167	1.571	3.286	6.714	0.286	0.429	0.0	0.0	1.714	8.71	
/Users/irene/Downloads/exam/exam2014/ADe_12_1.txt	65	aver	5.67	24.36	18.5	22.5	16.38	20.33	12.2	1.667	1.0	0.267	0.133	0.133	0.267	0.133	0.133	0.067	1.667	2.333	5.333	0.444	0.556	0.0	0.0	1.889	7.11	
/Users/irene/Downloads/exam/exam2014/ADe_13_1.txt	60	aver	5.2	28.8	20.8	27.5	19.5	27.2	17.0	1.6	1.0	0.25	0.0	0.25	0.25	0.0	0.25	0.125	1.6	5.0	6.6	0.2	0.0	0.0	0.0	1.4	8	
/Users/irene/Downloads/exam/exam2014/ADe_16_1.txt	65	aver	6.62	27.46	20.46	27.43	21.14	24	11.294	2.125	1.0	0.235	0.235	0.176	0.235	0.235	0.176	0.235	2.125	3.125	4.125	0.375	0.375	0.0	0.25	2.875	3.5	
/Users/irene/Downloads/exam/exam2014/ADe_20_1.txt	55	aver	5.67	32.03	25.42	33.0	27.0	29.22	10.958	2.667	1.0	0.083	0.208	0.0	0.083	0.208	0.0	0.167	2.667	4.556	5.778	0.333	0.222	0.0	0.222	1.222	13.22	
/Users/irene/Downloads/exam/exam2014/ADe_2_1.txt	65	aver	5.12	31.32	26.11	31.29	25.14	22.25	11.867	1.875	1.0	0.133	0.0	0.267	0.133	0.0	0.267	0.067	1.875	2.125	2.75	0.25	0.25	0.0	0.125	1.375	3.25	
/Users/irene/Downloads/exam/exam2014/ADe_3_1.txt	60	aver	5.5	34.39	26.5	33.14	25.71	26.88	9.773	2.75	1.0	0.091	0.273	0.045	0.091	0.273	0.045	0.045	2.75	2.75	4.125	0.625	0.875	0.375	0.125	2.75	12.38	
/Users/irene/Downloads/exam/exam2014/ADe_4_1.txt	65	aver	5.0	21.57	17.18	21.57	18.0	19.12	11.769	1.625	1.083	0.333	0.083	0.167	0.308	0.077	0.154	0.077	1.5	0.875	3.0	0.25	0.25	0.0	0.0	2.125	4.25	
/Users/irene/Downloads/exam/exam2014/ASt_11_1.txt	60	aver	5.62	33.18	27.0	33.71	26.43	26.5	15.143	1.75	1.0	0.429	0.143	0.286	0.429	0.143	0.286	0.286	1.75	2.5	4.75	0.25	0.625	0.5	0.0	2.5	9.12	
/Users/irene/Downloads/exam/exam2014/ASt_12_1.txt	55	aver	4.4	20.8	16.64	21.22	17.11	18.2	13.0	1.4	1.0	0.071	0.0	0.071	0.071	0.0	0.071	0.286	1.4	1.2	3.2	0.4	0.2	0.0	0.0	1.8	5.3	
/Users/irene/Downloads/exam/exam2014/ASt_15_1.txt	60	aver	4.18	20.98	17.51	17.1	13.9	17.18	12.6	1.364	1.0	0.2	0.0	0.133	0.2	0.0	0.133	0.267	1.364	2.091	3.273	0.273	0.273	0.091	0.091	1.545	4.82	
/Users/irene/Downloads/exam/exam2014/ASt_16_1.txt	65	aver	5.11	25.81	20.92	26.38	21.75	21.56	17.636	1.222	1.0	0.273	0.091	0.0	0.273	0.091	0.0	0.091	1.222	2.889	3.667	0.333	0.333	0.0	0.111	1.444	5.11	
/Users/irene/Downloads/exam/exam2014/ASt_19_1.txt	60	aver	5.5	25.04	19.33	25.56	20.22	21.7	15.5	1.4	1.0	0.429	0.0	0.214	0.429	0.0	0.214	0.0	1.4	2.5	4.5	0.3	0.4	0.3	0.0	1.9	6.8	
/Users/irene/Downloads/exam/exam2014/ASt_1_1.txt	60	aver	5.12	21.86	16.29	21.0	16.0	17.88	11.917	1.5	1.091	0.091	0.091	0.091	0.083	0.083	0.083	0.25	1.375	2.625	3.0	0.5	0.125	0.0	0.0	1.375	3.25	
/Users/irene/Downloads/exam/exam2014/ASt_20_1.txt	60	aver	4.38	23.32	18.89	21.43	16.86	19.38	9.688	2.0	1.0	0.25	0.062	0.062	0.25	0.062	0.062	0.25	2.0	2.25	2.75	0.5	0.125	0.125	0.0	1.625	5	
/Users/irene/Downloads/exam/exam2014/ASt_21_1.txt	70	best	4.88	29.54	23.32	29.86	23.57	24.25	11.412	2.125	1.0	0.0	0.118	0.118	0.0	0.118	0.118	0.353	2.125	3.25	4.25	0.125	0.5	0.0	0.0	1.875	6.5	
/Users/irene/Downloads/exam/exam2014/ASt_22_1.txt	65	aver	4.89	27.81	21.86	24.88	19.88	23.44	10.048	2.333	1.0	0.143	0.095	0.095	0.143	0.095	0.095	0.048	2.333	2.444	3.0	0.889	0.222	0.0	0.0	2.111	9.22	
/Users/irene/Downloads/exam/exam2014/ASt_23_1.txt	65	aver	5.29	29.67	24.86	32.0	26.67	23.57	8.25	2.857	1.0	0.1	0.2	0.15	0.1	0.2	0.15	0.25	2.857	1.857	3.0	0.286	0.714	0.0	0.0	2.0	8.29	
/Users/irene/Downloads/exam/exam2014/ASt_24_1.txt	65	aver	4.36	18.22	15.45	19.3	15.8	15.27	9.882	1.545	1.0	0.176	0.0	0.059	0.176	0.0	0.059	0.059	1.545	2.0	2.0	0.273	0.364	0.0	0.091	1.182	7.18	
