ZEv_3_2	best	4.89	23.31	18.11	22.0	16.94	19.44	10.606	1.833	1.0	0.091	0.152	0.455	0.091	0.152	0.455	0.212	1.833	1.833	2.167	0.444	1.222	0.0	0.167	2.444	4.61	
EEm_14_2	best	5.8	30.84	21.51	30.11	21.0	27.9	11.16	2.5	1.0	0.2	0.16	0.16	0.2	0.16	0.16	0.4	2.5	3.5	3.4	0.1	1.4	0.0	0.3	2.6	7.7	
EEm_16_2	best	5.06	22.58	17.69	23.19	18.94	18	10.929	1.647	1.0	0.179	0.107	0.286	0.179	0.107	0.286	0.429	1.647	1.824	2.412	0.294	0.882	0.118	0.176	2.0	7.71	
MTsy_6_2	best	4.53	20.71	15.24	20.14	14.5	17.8	12.136	1.467	1.0	0.182	0.0	0.136	0.182	0.0	0.136	0.636	1.467	1.933	2.0	0.333	1.133	0.0	0.267	2.0	6.67	
KKo_9_2	best	4.56	21.37	15.83	20.94	16.06	18	10.125	1.778	1.0	0.156	0.031	0.312	0.156	0.031	0.312	0.25	1.778	1.556	2.111	0.389	1.389	0.111	0.167	2.278	9.11	
KKo_24_2	best	6.4	38.58	29.67	39.56	30.78	29.7	13.5	2.2	1.0	0.318	0.227	0.5	0.318	0.227	0.5	0.5	2.2	2.5	3.2	0.1	2.5	0.1	0.6	3.8	6	
LPo_16_2	best	5.86	31.56	25.07	30.69	24.46	23.79	8.325	2.857	1.0	0.2	0.05	0.325	0.2	0.05	0.325	0.225	2.857	1.857	2.714	0.357	1.643	0.071	0.143	3.0	7.5	
ASt_2_2	best	5.5	24.38	17.62	25.0	18.45	20.25	11.045	1.833	1.0	0.273	0.045	0.227	0.273	0.045	0.227	0.136	1.833	2.417	3.0	0.333	1.167	0.083	0.083	2.083	5.08	
ASt_21_2	best	5.55	29.62	21.71	26.8	18.8	24.64	8.469	2.909	1.067	0.133	0.267	0.267	0.125	0.25	0.25	0.062	2.727	2.364	3.909	0.182	1.0	0.273	0.091	2.909	4.73	
ASt_34_2	best	5.67	26.06	18.74	24.73	17.91	23.92	9.897	2.417	1.0	0.138	0.138	0.207	0.138	0.138	0.207	0.276	2.417	2.917	3.25	0.333	0.667	0.0	0.083	2.583	6.42	
